identifier,charity_number,company_number,filetype,filename,financial_year_end,org_type
GB-CHC-1148085,1148085,,pdf_ocr,accounts/GB-CHC-1148085-2017-03-31.pdf,2017-03-31 00:00:00,Charity
GB-CHC-1148279,1148279,,pdf_ocr,accounts/GB-CHC-1148279-2017-05-31.pdf,2017-05-31 00:00:00,Charity
GB-CHC-1148619,1148619,,pdf_ocr,accounts/GB-CHC-1148619-2017-03-31.pdf,2017-03-31 00:00:00,Charity
GB-CHC-1149539,1149539,,pdf_ocr,accounts/GB-CHC-1149539-2017-03-31.pdf,2017-03-31 00:00:00,Charity
GB-CHC-1149718,1149718,,pdf_ocr,accounts/GB-CHC-1149718-2016-03-31.pdf,2016-03-31 00:00:00,Charity
GB-CHC-1150074,1150074,,pdf_ocr,accounts/GB-CHC-1150074-2016-12-31.pdf,2016-12-31 00:00:00,Charity
GB-CHC-1150159,1150159,,pdf_ocr,accounts/GB-CHC-1150159-2018-01-31.pdf,2018-01-31 00:00:00,Charity
GB-CHC-1150440,1150440,,pdf_ocr,accounts/GB-CHC-1150440-2017-09-30.pdf,2017-09-30 00:00:00,Charity
GB-CHC-1150674,1150674,,pdf_ocr,accounts/GB-CHC-1150674-2017-09-30.pdf,2017-09-30 00:00:00,Charity
GB-CHC-1150712,1150712,,pdf_ocr,accounts/GB-CHC-1150712-2017-09-28.pdf,2017-09-28 00:00:00,Charity
GB-CHC-1151668,1151668,,pdf_ocr,accounts/GB-CHC-1151668-2017-03-31.pdf,2017-03-31 00:00:00,Charity
GB-CHC-1151846,1151846,,pdf_ocr,accounts/GB-CHC-1151846-2017-12-31.pdf,2017-12-31 00:00:00,Charity
GB-CHC-1151945,1151945,,pdf_ocr,accounts/GB-CHC-1151945-2017-03-31.pdf,2017-03-31 00:00:00,Charity
GB-CHC-1152237,1152237,,pdf_ocr,accounts/GB-CHC-1152237-2017-12-31.pdf,2017-12-31 00:00:00,Charity
GB-CHC-1153055,1153055,,pdf_ocr,accounts/GB-CHC-1153055-2017-03-31.pdf,2017-03-31 00:00:00,Charity
GB-CHC-1153089,1153089,,pdf_ocr,accounts/GB-CHC-1153089-2017-09-30.pdf,2017-09-30 00:00:00,Charity
GB-CHC-1153358,1153358,,pdf_ocr,accounts/GB-CHC-1153358-2017-03-31.pdf,2017-03-31 00:00:00,Charity
GB-CHC-1153512,1153512,,pdf_ocr,accounts/GB-CHC-1153512-2017-10-31.pdf,2017-10-31 00:00:00,Charity
GB-CHC-1153584,1153584,,pdf_ocr,accounts/GB-CHC-1153584-2017-08-31.pdf,2017-08-31 00:00:00,Charity
GB-CHC-1153883,1153883,,pdf_ocr,accounts/GB-CHC-1153883-2017-03-31.pdf,2017-03-31 00:00:00,Charity
GB-CHC-1154017,1154017,,pdf_ocr,accounts/GB-CHC-1154017-2017-08-31.pdf,2017-08-31 00:00:00,Charity
GB-CHC-1154316,1154316,,pdf_ocr,accounts/GB-CHC-1154316-2017-05-31.pdf,2017-05-31 00:00:00,Charity
GB-CHC-1154680,1154680,,pdf_ocr,accounts/GB-CHC-1154680-2017-06-30.pdf,2017-06-30 00:00:00,Charity
GB-CHC-1154790,1154790,,pdf_ocr,accounts/GB-CHC-1154790-2018-03-31.pdf,2018-03-31 00:00:00,Charity
GB-CHC-1154831,1154831,,pdf_ocr,accounts/GB-CHC-1154831-2017-03-31.pdf,2017-03-31 00:00:00,Charity
GB-CHC-1154886,1154886,,pdf_ocr,accounts/GB-CHC-1154886-2018-03-31.pdf,2018-03-31 00:00:00,Charity
GB-CHC-1154963,1154963,,pdf_ocr,accounts/GB-CHC-1154963-2017-03-31.pdf,2017-03-31 00:00:00,Charity
