,action_date,barcode,category,date,description,description_values.made_up_date,links.document_metadata,links.self,pages,paper_filed,transaction_id,type,company_number,filename,filetype
20,2017-03-31,A6L7S8A3,accounts,2017-12-18,accounts-with-accounts-type-group,2017-03-31,https://frontend-doc-api.companieshouse.gov.uk/document/rCuVB5xE6vK7RIK9zclZxSlVhq0HAZXoXsEcTEGO9uM,/company/04418625/filing-history/MzE5MzAzMzg1MGFkaXF6a2N4,31.0,True,MzE5MzAzMzg1MGFkaXF6a2N4,AA,04418625,accounts/GB-COH-04418625-2017-03-31.pdf,pdf
21,2017-12-31,A78QQ3MX,accounts,2018-06-26,accounts-with-accounts-type-small,2017-12-31,https://frontend-doc-api.companieshouse.gov.uk/document/uZ9b8ss2XlPCwgX_W1g1vwO-nMmQsuIjsl1YbbWgN_A,/company/04554636/filing-history/MzIwODI4MjYyN2FkaXF6a2N4,8.0,True,MzIwODI4MjYyN2FkaXF6a2N4,AA,04554636,accounts/GB-COH-04554636-2017-12-31.pdf,pdf
22,2017-03-31,X6L2Y4P6,accounts,2017-12-11,accounts-with-accounts-type-micro-entity,2017-03-31,https://frontend-doc-api.companieshouse.gov.uk/document/2GtRK2A4Nktjj7keXIVRFYu9B95SYJgz3l2XfKPakF4,/company/04577725/filing-history/MzE5MjQ2MDM1N2FkaXF6a2N4,2.0,,MzE5MjQ2MDM1N2FkaXF6a2N4,AA,04577725,accounts/GB-COH-04577725-2017-03-31.html,html
23,2017-03-31,A6LSSNZL,accounts,2018-01-03,accounts-with-accounts-type-small,2017-03-31,https://frontend-doc-api.companieshouse.gov.uk/document/5l4yTHNSno9jDFL7y4t1mD7KUx3f3aGXhdnY7pIy8Uw,/company/04801730/filing-history/MzE5NDM3Mjc1NmFkaXF6a2N4,13.0,True,MzE5NDM3Mjc1NmFkaXF6a2N4,AA,04801730,accounts/GB-COH-04801730-2017-03-31.pdf,pdf
24,2017-07-31,A76EDNW9,accounts,2018-05-25,accounts-with-accounts-type-micro-entity,2017-07-31,https://frontend-doc-api.companieshouse.gov.uk/document/ZZEsW1BIiDETJyjDFl6eJN9M8wNYVnZRpi4cd5esRMM,/company/04846529/filing-history/MzIwNTg1NTA0NmFkaXF6a2N4,8.0,True,MzIwNTg1NTA0NmFkaXF6a2N4,AA,04846529,accounts/GB-COH-04846529-2017-07-31.pdf,pdf
25,2017-03-31,X6LAUWAX,accounts,2017-12-15,accounts-with-accounts-type-micro-entity,2017-03-31,https://frontend-doc-api.companieshouse.gov.uk/document/UtZ0Vo_1Ie2KmRLzWtRLdljc7BWM_nmht_Zjr4cAj0g,/company/04964138/filing-history/MzE5Mjk1NzE2OGFkaXF6a2N4,3.0,,MzE5Mjk1NzE2OGFkaXF6a2N4,AA,04964138,accounts/GB-COH-04964138-2017-03-31.html,html
26,2017-03-31,X6MFBE1N,accounts,2017-12-31,accounts-with-accounts-type-micro-entity,2017-03-31,https://frontend-doc-api.companieshouse.gov.uk/document/8OwMRa_e1HUtmnlQrK4cnCU3oquVhqrIX4Fe9XzlqTk,/company/05047824/filing-history/MzE5NDExNzE3NmFkaXF6a2N4,2.0,,MzE5NDExNzE3NmFkaXF6a2N4,AA,05047824,accounts/GB-COH-05047824-2017-03-31.html,html
27,2013-03-31,X29GQ4TK,accounts,2013-05-30,accounts-with-accounts-type-total-exemption-small,2013-03-31,https://frontend-doc-api.companieshouse.gov.uk/document/G8d208aOFCyoDCKql3YpNJUVhKoxeOyExagWhXgbhgs,/company/05070626/filing-history/MzA3ODkzMDE0MWFkaXF6a2N4,9.0,,MzA3ODkzMDE0MWFkaXF6a2N4,AA,05070626,accounts/GB-COH-05070626-2013-03-31.pdf,pdf
28,2017-03-31,A6YA0OXD,accounts,2018-01-26,accounts-with-accounts-type-total-exemption-full,2017-03-31,https://frontend-doc-api.companieshouse.gov.uk/document/lBR68KueNkZm7oB3PvqR6mW5gLsj7ACt4hntisI2YbI,/company/05135926/filing-history/MzE5NjI2MjIxOWFkaXF6a2N4,15.0,True,MzE5NjI2MjIxOWFkaXF6a2N4,AA,05135926,accounts/GB-COH-05135926-2017-03-31.pdf,pdf
29,2017-03-31,X6LL52KP,accounts,2017-12-19,accounts-with-accounts-type-micro-entity,2017-03-31,https://frontend-doc-api.companieshouse.gov.uk/document/eAToYhLfD7PTcMc2O-DuIavnIA0Nj8mK-NrrJ85weBg,/company/05262487/filing-history/MzE5MzE5MjMwMmFkaXF6a2N4,2.0,,MzE5MzE5MjMwMmFkaXF6a2N4,AA,05262487,accounts/GB-COH-05262487-2017-03-31.html,html
30,2017-03-31,A6ZA2OCJ,accounts,2018-02-09,accounts-with-accounts-type-total-exemption-full,2017-03-31,https://frontend-doc-api.companieshouse.gov.uk/document/wIbyv7zl-bx2tZuaizvaa6avJzdWOElLp38zlVwWnRY,/company/05263926/filing-history/MzE5NzM5MjU3NWFkaXF6a2N4,14.0,True,MzE5NzM5MjU3NWFkaXF6a2N4,AA,05263926,accounts/GB-COH-05263926-2017-03-31.pdf,pdf
31,2017-03-31,X6LW2DNC,accounts,2017-12-23,accounts-with-accounts-type-micro-entity,2017-03-31,https://frontend-doc-api.companieshouse.gov.uk/document/w7j5DuFBdMBX1eFlS8h9Aw-j1RhlApDEBgHmA1zv-9w,/company/05298085/filing-history/MzE5MzY5NjcwMmFkaXF6a2N4,7.0,,MzE5MzY5NjcwMmFkaXF6a2N4,AA,05298085,accounts/GB-COH-05298085-2017-03-31.html,html
32,2017-10-31,A76M3896,accounts,2018-05-30,accounts-with-accounts-type-total-exemption-full,2017-10-31,https://frontend-doc-api.companieshouse.gov.uk/document/V0Rc4-XemU2uwZRw-1v45PTcss8N8Es5PQ7W_c53kCU,/company/05419521/filing-history/MzIwNjE4NTc5M2FkaXF6a2N4,8.0,True,MzIwNjE4NTc5M2FkaXF6a2N4,AA,05419521,accounts/GB-COH-05419521-2017-10-31.pdf,pdf
33,2017-03-31,A6KFOAM9,accounts,2017-12-12,accounts-with-accounts-type-total-exemption-full,2017-03-31,https://frontend-doc-api.companieshouse.gov.uk/document/tYmS46HTqqjp3cm4HanYvrnRyO4ceoXU6XENCTNsZp0,/company/05576596/filing-history/MzE5MjY0MzY0MmFkaXF6a2N4,11.0,True,MzE5MjY0MzY0MmFkaXF6a2N4,AA,05576596,accounts/GB-COH-05576596-2017-03-31.pdf,pdf
34,2017-03-31,S6XDLML5,accounts,2018-01-12,accounts-with-accounts-type-total-exemption-full,2017-03-31,https://frontend-doc-api.companieshouse.gov.uk/document/nyZMg_MkduPj3n0zNM4T7ZHL_fVivvULIWYnRUqeZMI,/company/05611771/filing-history/MzE5NTA4NjQxNGFkaXF6a2N4,10.0,True,MzE5NTA4NjQxNGFkaXF6a2N4,AA,05611771,accounts/GB-COH-05611771-2017-03-31.pdf,pdf
35,2017-12-31,X7FBRGP6,accounts,2018-09-26,accounts-with-accounts-type-micro-entity,2017-12-31,https://frontend-doc-api.companieshouse.gov.uk/document/3256eThMNM43gKKfaQHciJrDPgPHTgTJCKVFGfykeOo,/company/05642581/filing-history/MzIxNTUwMzIyOWFkaXF6a2N4,2.0,,MzIxNTUwMzIyOWFkaXF6a2N4,AA,05642581,accounts/GB-COH-05642581-2017-12-31.html,html
36,2016-12-31,X6FYZOH5,accounts,2017-09-29,accounts-with-accounts-type-total-exemption-full,2016-12-31,https://frontend-doc-api.companieshouse.gov.uk/document/x0tNlEJhJiHHP53vHBadAvsCmwIvWFMN7YD7AxQnL0M,/company/05677069/filing-history/MzE4NjYzNDEwOWFkaXF6a2N4,10.0,,MzE4NjYzNDEwOWFkaXF6a2N4,AA,05677069,accounts/GB-COH-05677069-2016-12-31.html,html
37,2017-03-31,A6LVD24W,accounts,2018-01-05,accounts-with-accounts-type-total-exemption-full,2017-03-31,https://frontend-doc-api.companieshouse.gov.uk/document/VOTguwDAFAnSCY0ju683e9N9OSWX61XFqIaRMaNx3xc,/company/05692427/filing-history/MzE5NDQ2OTE3MmFkaXF6a2N4,29.0,True,MzE5NDQ2OTE3MmFkaXF6a2N4,AA,05692427,accounts/GB-COH-05692427-2017-03-31.pdf,pdf
38,2018-03-31,X76E1T4A,accounts,2018-05-21,accounts-with-accounts-type-micro-entity,2018-03-31,https://frontend-doc-api.companieshouse.gov.uk/document/dGUiVnYMDjMlzt9oSwcRyOj66OjnCIxfRgAFuPPVuLU,/company/05766631/filing-history/MzIwNTM4NTk3OGFkaXF6a2N4,5.0,,MzIwNTM4NTk3OGFkaXF6a2N4,AA,05766631,accounts/GB-COH-05766631-2018-03-31.html,html
39,2017-03-31,X6L107QI,accounts,2017-12-11,accounts-with-accounts-type-micro-entity,2017-03-31,https://frontend-doc-api.companieshouse.gov.uk/document/tMNBj-PCgTB00QaS5rgH6X0M5P3dW3xlUjQZ9c_hFiQ,/company/05786202/filing-history/MzE5MjQ3OTI2N2FkaXF6a2N4,2.0,,MzE5MjQ3OTI2N2FkaXF6a2N4,AA,05786202,accounts/GB-COH-05786202-2017-03-31.html,html
40,2018-03-31,A7GHOQQA,accounts,2018-10-17,accounts-with-accounts-type-total-exemption-full,2018-03-31,https://frontend-doc-api.companieshouse.gov.uk/document/bAyfc5ROTdF66yPh0vUfqIg9-j6cwicAL_3bhPo9DHo,/company/05853922/filing-history/MzIxNzE3MDYzOWFkaXF6a2N4,7.0,True,MzIxNzE3MDYzOWFkaXF6a2N4,AA,05853922,accounts/GB-COH-05853922-2018-03-31.pdf,pdf
41,2017-12-31,A70F3CM3,accounts,2018-03-05,accounts-with-accounts-type-micro-entity,2017-12-31,https://frontend-doc-api.companieshouse.gov.uk/document/MxWcYwPI78NANuk1sLfGgWVdj_Ozan3n2dSmfSxqHx0,/company/05862214/filing-history/MzE5OTIzNzQ4NGFkaXF6a2N4,20.0,True,MzE5OTIzNzQ4NGFkaXF6a2N4,AA,05862214,accounts/GB-COH-05862214-2017-12-31.pdf,pdf
42,2018-03-31,S7DRV71F,accounts,2018-09-12,accounts-with-accounts-type-total-exemption-full,2018-03-31,https://frontend-doc-api.companieshouse.gov.uk/document/YhqAy3ndaIYxuN0aLAToKGarSuDq4Cy3yMS2CygVv9M,/company/05888474/filing-history/MzIxNDM1Njg0NGFkaXF6a2N4,15.0,True,MzIxNDM1Njg0NGFkaXF6a2N4,AA,05888474,accounts/GB-COH-05888474-2018-03-31.pdf,pdf
43,2017-09-30,A7AY0EZ6,accounts,2018-08-01,accounts-with-accounts-type-micro-entity,2017-09-30,https://frontend-doc-api.companieshouse.gov.uk/document/fRg_7f750HTMVz1GEwvoTWzZB8j0M_NIQIA9RWPhU4E,/company/05935259/filing-history/MzIxMTE0Mzk5MWFkaXF6a2N4,5.0,True,MzIxMTE0Mzk5MWFkaXF6a2N4,AA,05935259,accounts/GB-COH-05935259-2017-09-30.pdf,pdf
44,2017-10-31,X7F91GSO,accounts,2018-09-25,accounts-with-accounts-type-micro-entity,2017-10-31,https://frontend-doc-api.companieshouse.gov.uk/document/a-R9VuLB9j0n76yZ-TGxQbIABotr9MIqa1bNrYUt9yk,/company/05969206/filing-history/MzIxNTM1NTE0NGFkaXF6a2N4,2.0,,MzIxNTM1NTE0NGFkaXF6a2N4,AA,05969206,accounts/GB-COH-05969206-2017-10-31.html,html
45,,X6LTYWUW,accounts,2017-12-22,accounts-with-accounts-type-unaudited-abridged,2017-03-31,https://frontend-doc-api.companieshouse.gov.uk/document/ARbgcCEAZA1K6DRK3K039E4XJsgGHspOyQeNlDQuUr4,/company/05970967/filing-history/MzE5MzU5OTEwNWFkaXF6a2N4,9.0,,MzE5MzU5OTEwNWFkaXF6a2N4,AA,05970967,accounts/GB-COH-05970967-2017-03-31.html,html
46,2018-10-31,X7I6WZ3F,accounts,2018-11-07,accounts-with-accounts-type-micro-entity,2018-10-31,https://frontend-doc-api.companieshouse.gov.uk/document/UkD-8_KQ_0-AgjpbNaibo41P7SFMNsX9wqu2ZREzqrY,/company/05976127/filing-history/MzIxODg5MTYyNmFkaXF6a2N4,2.0,,MzIxODg5MTYyNmFkaXF6a2N4,AA,05976127,accounts/GB-COH-05976127-2018-10-31.html,html
47,2017-12-31,A7E9Z2M2,accounts,2018-09-17,accounts-with-accounts-type-total-exemption-full,2017-12-31,https://frontend-doc-api.companieshouse.gov.uk/document/0ba5mhu2j93BxdAaYYQLii776cW5Mih_8gYLsSs3YEQ,/company/06045786/filing-history/MzIxNDY2NDI4MmFkaXF6a2N4,20.0,True,MzIxNDY2NDI4MmFkaXF6a2N4,AA,06045786,accounts/GB-COH-06045786-2017-12-31.pdf,pdf
48,2017-07-31,A73JXPS9,accounts,2018-04-17,accounts-with-accounts-type-total-exemption-full,2017-07-31,https://frontend-doc-api.companieshouse.gov.uk/document/YdeURpkUBQqaBVaokhG3eo6KdVWiXu33Z_nW69REhm0,/company/06076462/filing-history/MzIwMjcxOTM4M2FkaXF6a2N4,21.0,True,MzIwMjcxOTM4M2FkaXF6a2N4,AA,06076462,accounts/GB-COH-06076462-2017-07-31.pdf,pdf
49,2018-03-31,A7J6TD7U,accounts,2018-11-27,accounts-with-accounts-type-total-exemption-full,2018-03-31,,/company/06105098/filing-history/MzIyMDM5OTI5OWFkaXF6a2N4,,True,MzIyMDM5OTI5OWFkaXF6a2N4,AA,,,
50,2018-03-31,A7DXA03T,accounts,2018-09-12,accounts-with-accounts-type-small,2018-03-31,https://frontend-doc-api.companieshouse.gov.uk/document/i3jleRJfT_DPGEV0uHkCT1tEjqrvgYbNjulY7nQzVXI,/company/06110507/filing-history/MzIxNDM2NTg3MWFkaXF6a2N4,14.0,True,MzIxNDM2NTg3MWFkaXF6a2N4,AA,06110507,accounts/GB-COH-06110507-2018-03-31.pdf,pdf
51,2017-12-31,A79BART6,accounts,2018-07-11,accounts-with-accounts-type-total-exemption-full,2017-12-31,https://frontend-doc-api.companieshouse.gov.uk/document/OzvaOT9pCo4Ho7x2qFzeASTkYiOZ7RiHcamu-QROx7o,/company/06261979/filing-history/MzIwOTUwMjUyMWFkaXF6a2N4,16.0,True,MzIwOTUwMjUyMWFkaXF6a2N4,AA,06261979,accounts/GB-COH-06261979-2017-12-31.pdf,pdf
52,2017-06-30,X73QC2HN,accounts,2018-04-12,accounts-with-accounts-type-total-exemption-full,2017-06-30,https://frontend-doc-api.companieshouse.gov.uk/document/JX-ovwR5e7t1xND9IVggk3fmlQ27H_Bqpqfp7qS0syM,/company/06269027/filing-history/MzIwMjQ1NTE1NWFkaXF6a2N4,7.0,,MzIwMjQ1NTE1NWFkaXF6a2N4,AA,06269027,accounts/GB-COH-06269027-2017-06-30.html,html
53,2016-11-30,X5XVKDGI,accounts,2017-01-11,accounts-with-accounts-type-total-exemption-small,2016-11-30,https://frontend-doc-api.companieshouse.gov.uk/document/XCjtnCJvJBzaIGj85aumV_9umjTEszq2Ps0BmHe4Sgw,/company/06270922/filing-history/MzE2NjQzNzQ0M2FkaXF6a2N4,5.0,,MzE2NjQzNzQ0M2FkaXF6a2N4,AA,06270922,accounts/GB-COH-06270922-2016-11-30.html,html
54,2017-08-31,A76EDYMG,accounts,2018-05-31,accounts-with-accounts-type-total-exemption-full,2017-08-31,https://frontend-doc-api.companieshouse.gov.uk/document/wYlEgOgWNn6kSfjsbB19fhdkk68DSZHxt6tWBSml4mQ,/company/06273840/filing-history/MzIwNjM0OTg2NmFkaXF6a2N4,22.0,True,MzIwNjM0OTg2NmFkaXF6a2N4,AA,06273840,accounts/GB-COH-06273840-2017-08-31.pdf,pdf
55,2018-03-31,A7IES7R6,accounts,2018-11-15,accounts-with-accounts-type-total-exemption-full,2018-03-31,https://frontend-doc-api.companieshouse.gov.uk/document/HaDXFhmgJFXaJCC3Zzrf9vBzuMncb5gXVpqdwc0GlrE,/company/06274005/filing-history/MzIxOTMwNTM1MWFkaXF6a2N4,12.0,True,MzIxOTMwNTM1MWFkaXF6a2N4,AA,06274005,accounts/GB-COH-06274005-2018-03-31.pdf,pdf
56,2017-06-30,X72WYNKP,accounts,2018-03-31,accounts-with-accounts-type-total-exemption-full,2017-06-30,https://frontend-doc-api.companieshouse.gov.uk/document/pwmLqGLumukjwvfhrtZ5blYlVceDZecUzIVGXbU1goY,/company/06285509/filing-history/MzIwMTU0Mzg1N2FkaXF6a2N4,8.0,,MzIwMTU0Mzg1N2FkaXF6a2N4,AA,06285509,accounts/GB-COH-06285509-2017-06-30.html,html
57,2017-08-31,A76JHVQ1,accounts,2018-05-29,accounts-with-accounts-type-total-exemption-full,2017-08-31,https://frontend-doc-api.companieshouse.gov.uk/document/0jAwC3A0MeuBf3id1z8fFkLeYJc-cXTItYpc1hg2cBc,/company/06285571/filing-history/MzIwNjA2NTA1MWFkaXF6a2N4,17.0,True,MzIwNjA2NTA1MWFkaXF6a2N4,AA,06285571,accounts/GB-COH-06285571-2017-08-31.pdf,pdf
58,2017-09-30,A78J1LTC,accounts,2018-06-26,accounts-with-accounts-type-total-exemption-full,2017-09-30,https://frontend-doc-api.companieshouse.gov.uk/document/HsZsWgZT4lLEpMgKIRVpUm4il0_74C3WaFWJqxAP1R0,/company/06285637/filing-history/MzIwODI5NjE1OGFkaXF6a2N4,8.0,True,MzIwODI5NjE1OGFkaXF6a2N4,AA,06285637,accounts/GB-COH-06285637-2017-09-30.pdf,pdf
59,2017-03-31,X6LLYXVU,accounts,2017-12-19,accounts-with-accounts-type-micro-entity,2017-03-31,https://frontend-doc-api.companieshouse.gov.uk/document/LL_75PRyrWIyAOMulue1AYUMo1F148oAucMJtRpQ3j4,/company/06299911/filing-history/MzE5MzIyMDE0MGFkaXF6a2N4,2.0,,MzE5MzIyMDE0MGFkaXF6a2N4,AA,06299911,accounts/GB-COH-06299911-2017-03-31.html,html
60,2017-03-31,X6LHVCHM,accounts,2017-12-17,accounts-with-accounts-type-micro-entity,2017-03-31,https://frontend-doc-api.companieshouse.gov.uk/document/riuVBuX6eegTV0mwxmvtd-MJmDdYhLz45DLVn7XXG8Q,/company/06352540/filing-history/MzE5MzA0NTk5MWFkaXF6a2N4,3.0,,MzE5MzA0NTk5MWFkaXF6a2N4,AA,06352540,accounts/GB-COH-06352540-2017-03-31.html,html
